"hgnc" "ensembl"
"ABCB10P4" "ENSG00000260053"
"ABCB11" "ENSG00000073734"
"ABCC1" "ENSG00000103222"
"ABCC2" "ENSG00000023839"
"ABCC3" "ENSG00000108846"
"ABCC4" "ENSG00000125257"
"ABCC5" "ENSG00000114770"
"ABCC5-AS1" "ENSG00000223882"
"ABCC6" "ENSG00000091262"
"ABCC6P1" "ENSG00000256340"
"ABCC6P2" "ENSG00000255277"
"ABCC7" NA
"ABCC8" "ENSG00000006071"
"ABCC9" "ENSG00000069431"
"ABCC10" "ENSG00000124574"
"ABCC11" "ENSG00000121270"
"ABCC12" "ENSG00000140798"
"ABCC13" "ENSG00000243064"
"ABCD1" "ENSG00000101986"
"ABCD1P1" NA
"ABCD1P2" "ENSG00000215151"
"ABCD1P3" "ENSG00000261233"
"ABCD1P4" "ENSG00000225293"
"ABCD1P5" "ENSG00000214330"
"ABCD2" "ENSG00000173208"
"ABCD3" "ENSG00000117528"
"ABCD4" "ENSG00000119688"
"ABCE1" "ENSG00000164163"
"ABCF1" "ENSG00000204574"
"ABCF1-DT" NA
"ABCF2" "ENSG00000033050"
"ABCF2P1" "ENSG00000242159"
"ABCF2P2" "ENSG00000228769"
"ABCF3" "ENSG00000161204"
"ABCG1" "ENSG00000160179"
"ABCG2" "ENSG00000118777"
"ABCG4" "ENSG00000172350"
"ABCG5" "ENSG00000138075"
"ABCG8" "ENSG00000143921"
"ABCR" NA
"ABHD1" "ENSG00000143994"
"ABHD2" "ENSG00000140526"
"ABHD3" "ENSG00000158201"
"ABHD4" "ENSG00000100439"
"ABHD5" "ENSG00000011198"
"ABHD6" "ENSG00000163686"
"ABHD8" "ENSG00000127220"
"ABHD10" "ENSG00000144827"
"ABHD11" "ENSG00000106077"
"ABHD11-AS1" "ENSG00000225969"
"ABHD11-AS2" NA
"ABHD12" "ENSG00000100997"
"ABHD12B" "ENSG00000131969"
"ABHD13" "ENSG00000139826"
"ABHD14A" "ENSG00000248487"
"ABHD14A-ACY1" "ENSG00000114786"
"ABHD14B" "ENSG00000114779"
"ABHD15" "ENSG00000168792"
"ABHD15-AS1" "ENSG00000264031"
"ABHD16A" "ENSG00000204427"
"ABHD16B" "ENSG00000183260"
"ABHD17A" "ENSG00000129968"
"ABHD17AP1" "ENSG00000198658"
"ABHD17AP2" NA
"ABHD17AP3" "ENSG00000250536"
"ABHD17AP4" "ENSG00000229107"
"ABHD17AP5" "ENSG00000263366"
"ABHD17AP6" "ENSG00000226981"
"ABHD17AP7" "ENSG00000260864"
"ABHD17AP8" "ENSG00000260540"
"ABHD17AP9" "ENSG00000261536"
"ABHD17B" "ENSG00000107362"
"ABHD17C" "ENSG00000136379"
"ABHD18" "ENSG00000164074"
"ABI1" "ENSG00000136754"
"ABI1P1" "ENSG00000271484"
"ABI2" "ENSG00000138443"
"ABI3" "ENSG00000108798"
"ABI3BP" "ENSG00000154175"
"ABITRAM" "ENSG00000119328"
"ABITRAMP1" "ENSG00000251106"
"ABL1" "ENSG00000097007"
"ABL2" "ENSG00000143322"
"ABLIM1" "ENSG00000099204"
"ABLIM2" "ENSG00000163995"
"ABLIM3" "ENSG00000173210"
"ABO" "ENSG00000175164"
"ABR" "ENSG00000159842"
"ABRA" "ENSG00000174429"
"ABRACL" "ENSG00000146386"
"ABRAXAS1" "ENSG00000163322"
"ABRAXAS2" "ENSG00000165660"
"ABT1" "ENSG00000146109"
"ABT1P1" "ENSG00000250496"
"ABTB1" "ENSG00000114626"
"ABTB2" "ENSG00000166016"
"ACAA1" "ENSG00000060971"
"ACAA2" "ENSG00000167315"
"ACACA" "ENSG00000278540"
"ACACB" "ENSG00000076555"
"ACAD" NA
"ACAD8" "ENSG00000151498"
"ACAD9" "ENSG00000177646"
"ACAD10" "ENSG00000111271"
"ACAD11" "ENSG00000240303"
"ACADL" "ENSG00000115361"
"ACADM" "ENSG00000117054"
"ACADS" "ENSG00000122971"
"ACADSB" "ENSG00000196177"
"ACADVL" "ENSG00000072778"
"ACAN" "ENSG00000157766"
"ACAP1" "ENSG00000072818"
"ACAP2" "ENSG00000114331"
"ACAP2-IT1" "ENSG00000229325"
"ACAP3" "ENSG00000131584"
"ACAT1" "ENSG00000075239"
"ACAT2" "ENSG00000120437"
"ACBD3" "ENSG00000182827"
"ACBD3-AS1" "ENSG00000234478"
"ACBD4" "ENSG00000181513"
"ACBD5" "ENSG00000107897"
"ACBD6" "ENSG00000230124"
"ACBD7" "ENSG00000176244"
"ACBP" NA
"ACC" NA
"ACCN" NA
"ACCPN" NA
"ACCS" "ENSG00000110455"
"ACCSL" "ENSG00000205126"
"ACD" "ENSG00000102977"
"ACE" "ENSG00000159640"
"ACE2" "ENSG00000130234"
"ACE3P" "ENSG00000224353"
"ACER1" "ENSG00000167769"
"ACER2" "ENSG00000177076"
"ACER3" "ENSG00000078124"
"ACH" NA
"ACHAP" NA
"ACHE" "ENSG00000087085"
"ACHM1" NA
"ACHM2" NA
"ACHM3" NA
"ACHRD" NA
"ACHRG" NA
"ACIN1" "ENSG00000100813"
"ACKR1" "ENSG00000213088"
"ACKR2" "ENSG00000144648"
"ACKR3" "ENSG00000144476"
"ACKR4" "ENSG00000129048"
"ACKR4P1" "ENSG00000225415"
"ACLS" NA
"ACLY" "ENSG00000131473"
"ACMG" NA
"ACMSD" "ENSG00000153086"
"ACNATP" "ENSG00000227411"
"ACO1" "ENSG00000122729"
"ACO2" "ENSG00000100412"
"ACOD1" "ENSG00000102794"
"ACOT1" "ENSG00000184227"
"ACOT2" "ENSG00000119673"
"ACOT4" "ENSG00000177465"
"ACOT6" "ENSG00000205669"
"ACOT7" "ENSG00000097021"
"ACOT8" "ENSG00000101473"
"ACOT9" "ENSG00000123130"
"ACOT11" "ENSG00000162390"
"ACOT12" "ENSG00000172497"
"ACOT13" "ENSG00000112304"
"ACOX1" "ENSG00000161533"
"ACOX2" "ENSG00000168306"
"ACOX3" "ENSG00000087008"
"ACOXL" "ENSG00000153093"
"ACOXL-AS1" "ENSG00000204581"
"ACP1" "ENSG00000143727"
"ACP2" "ENSG00000134575"
"ACP3" "ENSG00000014257"
"ACP4" "ENSG00000142513"
"ACP5" "ENSG00000102575"
"ACP6" "ENSG00000162836"
"ACP7" "ENSG00000183760"
"ACR" "ENSG00000100312"
"ACRBP" "ENSG00000111644"
"ACRV1" "ENSG00000134940"
"ACS3" NA
"ACSBG1" "ENSG00000103740"
"ACSBG2" "ENSG00000130377"
"ACSF2" "ENSG00000167107"
"ACSF3" "ENSG00000176715"
"ACSL1" "ENSG00000151726"
"ACSL3" "ENSG00000123983"
"ACSL3-AS1" "ENSG00000234193"
"ACSL4" "ENSG00000068366"
"ACSL5" "ENSG00000197142"
"ACSL6" "ENSG00000164398"
"ACSL6-AS1" "ENSG00000223548"
"ACSM1" "ENSG00000166743"
"ACSM2A" "ENSG00000183747"
"ACSM2B" "ENSG00000066813"
"ACSM3" "ENSG00000005187"
"ACSM4" "ENSG00000215009"
"ACSM5" "ENSG00000183549"
"ACSM5P1" "ENSG00000260762"
"ACSM6" "ENSG00000173124"
"ACSS1" "ENSG00000154930"
"ACSS2" "ENSG00000131069"
"ACSS3" "ENSG00000111058"
"ACTA1" "ENSG00000143632"
"ACTA2" "ENSG00000107796"
"ACTA2-AS1" "ENSG00000180139"
"ACTA3" NA
"ACTB" "ENSG00000075624"
"ACTBL2" "ENSG00000169067"
"ACTBP1" "ENSG00000229145"
"ACTBP2" "ENSG00000213763"
"ACTBP3" NA
"ACTBP4" NA
"ACTBP5" NA
"ACTBP6" "ENSG00000203413"
"ACTBP7" "ENSG00000185607"
"ACTBP8" "ENSG00000220267"
"ACTBP9" "ENSG00000266920"
"ACTBP10" NA
"ACTBP11" "ENSG00000188460"
"ACTBP12" "ENSG00000233125"
"ACTBP13" "ENSG00000234667"
"ACTBP14" "ENSG00000229001"
"ACTC1" "ENSG00000159251"
"ACTG1" "ENSG00000184009"
"ACTG1P1" "ENSG00000178631"
"ACTG1P2" "ENSG00000229129"
"ACTG1P3" "ENSG00000215388"
"ACTG1P4" "ENSG00000236085"
"ACTG1P6" NA
"ACTG1P7" NA
"ACTG1P8" NA
"ACTG1P9" "ENSG00000229349"
"ACTG1P10" "ENSG00000231340"
"ACTG1P11" "ENSG00000229465"
"ACTG1P12" "ENSG00000226642"
"ACTG1P13" "ENSG00000241305"
"ACTG1P14" "ENSG00000230581"
"ACTG1P15" "ENSG00000259904"
"ACTG1P16" "ENSG00000260298"
"ACTG1P17" "ENSG00000259315"
"ACTG1P18" "ENSG00000218475"
"ACTG1P19" "ENSG00000237999"
"ACTG1P20" "ENSG00000241547"
"ACTG1P21" "ENSG00000232672"
"ACTG1P22" "ENSG00000271615"
"ACTG1P23" "ENSG00000230362"
"ACTG1P24" "ENSG00000226359"
"ACTG2" "ENSG00000163017"
"ACTL2" NA
"ACTL3" NA
"ACTL4" NA
"ACTL5" NA
"ACTL6A" "ENSG00000136518"
"ACTL6B" "ENSG00000077080"
"ACTL7A" "ENSG00000187003"
"ACTL7B" "ENSG00000148156"
"ACTL8" "ENSG00000117148"
"ACTL9" "ENSG00000181786"
"ACTL10" "ENSG00000182584"
"ACTN1" "ENSG00000072110"
"ACTN1-AS1" "ENSG00000259062"
"ACTN2" "ENSG00000077522"
"ACTN3" "ENSG00000248746"
"ACTN4" "ENSG00000130402"
"ACTN4P1" "ENSG00000213493"
"ACTN4P2" "ENSG00000214141"
"ACTP1" "ENSG00000229890"
"ACTR1A" "ENSG00000138107"
"ACTR1B" "ENSG00000115073"
"ACTR2" "ENSG00000138071"
"ACTR3" "ENSG00000115091"
"ACTR3-AS1" NA
"ACTR3B" "ENSG00000133627"
"ACTR3BP1" "ENSG00000270242"
"ACTR3BP2" "ENSG00000226481"
"ACTR3BP3" "ENSG00000260327"
"ACTR3BP4" "ENSG00000249283"
"ACTR3BP5" "ENSG00000227264"
"ACTR3BP6" "ENSG00000226444"
"ACTR3C" "ENSG00000106526"
"ACTR3P1" NA
"ACTR3P2" "ENSG00000232267"
"ACTR3P3" "ENSG00000242573"
"ACTR5" "ENSG00000101442"
"ACTR6" "ENSG00000075089"
"ACTR6P1" "ENSG00000248915"
"ACTR8" "ENSG00000113812"
"ACTR10" "ENSG00000131966"
"ACTRT1" "ENSG00000123165"
"ACTRT2" "ENSG00000169717"
"ACTRT3" "ENSG00000184378"
"ACVR1" "ENSG00000115170"
"ACVR1B" "ENSG00000135503"
"ACVR1C" "ENSG00000123612"
"ACVR2A" "ENSG00000121989"
"ACVR2B" "ENSG00000114739"
"ACVR2B-AS1" "ENSG00000229589"
"ACVRL1" "ENSG00000139567"
"ACVRLK2" NA
"ACY1" "ENSG00000243989"
"ACY1L" NA
"ACY3" "ENSG00000132744"
"ACYP1" "ENSG00000119640"
"ACYP2" "ENSG00000170634"
"AD1" NA
"AD2" NA
"AD3" NA
"AD4" NA
"AD5" NA
"ADA" "ENSG00000196839"
"ADA2" "ENSG00000093072"
"ADAD1" "ENSG00000164113"
"ADAD1P1" NA
"ADAD1P2" "ENSG00000267511"
"ADAD2" "ENSG00000140955"
"ADAL" "ENSG00000168803"
"ADAM1A" "ENSG00000229186"
"ADAM1B" "ENSG00000226469"
"ADAM2" "ENSG00000104755"
"ADAM3A" "ENSG00000197475"
"ADAM3B" "ENSG00000260089"
"ADAM5" "ENSG00000196115"
"ADAM6" "ENSG00000271968"
"ADAM7" "ENSG00000069206"
"ADAM8" "ENSG00000151651"
"ADAM9" "ENSG00000168615"
"ADAM10" "ENSG00000137845"
"ADAM11" "ENSG00000073670"
"ADAM12" "ENSG00000148848"
"ADAM12-OT1" NA
"ADAM15" "ENSG00000143537"
"ADAM17" "ENSG00000151694"
"ADAM18" "ENSG00000168619"
"ADAM19" "ENSG00000135074"
"ADAM20" "ENSG00000134007"
"ADAM20P1" "ENSG00000259158"
"ADAM20P2" "ENSG00000248574"
"ADAM20P3" "ENSG00000249162"
"ADAM21" "ENSG00000139985"
"ADAM21P1" "ENSG00000235812"
"ADAM22" "ENSG00000008277"
"ADAM23" "ENSG00000114948"
"ADAM24P" "ENSG00000214607"
"ADAM28" "ENSG00000042980"
"ADAM29" "ENSG00000168594"
"ADAM30" "ENSG00000134249"
"ADAM32" "ENSG00000197140"
"ADAM33" "ENSG00000149451"
"ADAMDEC1" "ENSG00000134028"
"ADAMTS1" "ENSG00000154734"
"ADAMTS2" "ENSG00000087116"
"ADAMTS3" "ENSG00000156140"
"ADAMTS4" "ENSG00000158859"
"ADAMTS5" "ENSG00000154736"
"ADAMTS6" "ENSG00000049192"
"ADAMTS7" "ENSG00000136378"
"ADAMTS7P1" "ENSG00000274376"
"ADAMTS7P2" NA
"ADAMTS7P3" "ENSG00000261143"
"ADAMTS7P4" "ENSG00000218052"
"ADAMTS8" "ENSG00000134917"
"ADAMTS9" "ENSG00000163638"
"ADAMTS9-AS1" "ENSG00000241158"
"ADAMTS9-AS2" "ENSG00000241684"
"ADAMTS10" "ENSG00000142303"
"ADAMTS12" "ENSG00000151388"
"ADAMTS13" "ENSG00000160323"
"ADAMTS14" "ENSG00000138316"
"ADAMTS15" "ENSG00000166106"
"ADAMTS16" "ENSG00000145536"
"ADAMTS17" "ENSG00000140470"
"ADAMTS18" "ENSG00000140873"
"ADAMTS19" "ENSG00000145808"
"ADAMTS19-AS1" "ENSG00000249421"
"ADAMTS20" "ENSG00000173157"
"ADAMTS21" NA
"ADAMTSL1" "ENSG00000178031"
"ADAMTSL2" "ENSG00000197859"
"ADAMTSL3" "ENSG00000156218"
"ADAMTSL4" "ENSG00000143382"
"ADAMTSL4-AS1" "ENSG00000203804"
"ADAMTSL4-AS2" "ENSG00000237781"
"ADAMTSL5" "ENSG00000185761"
"ADAP1" "ENSG00000105963"
"ADAP2" "ENSG00000184060"
"ADAR" "ENSG00000160710"
"ADARB1" "ENSG00000197381"
"ADARB2" "ENSG00000185736"
"ADARB2-AS1" "ENSG00000205696"
"ADAT1" "ENSG00000065457"
"ADAT2" "ENSG00000189007"
"ADAT3" "ENSG00000213638"
"ADCK1" "ENSG00000063761"
"ADCK2" "ENSG00000133597"
"ADCK5" "ENSG00000173137"
"ADCP1" NA
"ADCP2" NA
"ADCR" NA
"ADCY1" "ENSG00000164742"
"ADCY2" "ENSG00000078295"
"ADCY3" "ENSG00000138031"
"ADCY4" "ENSG00000129467"
"ADCY5" "ENSG00000173175"
"ADCY6" "ENSG00000174233"
"ADCY6-DT" "ENSG00000257660"
"ADCY7" "ENSG00000121281"
"ADCY8" "ENSG00000155897"
"ADCY9" "ENSG00000162104"
"ADCY10" "ENSG00000143199"
"ADCY10P1" "ENSG00000161912"
"ADCYAP1" "ENSG00000141433"
"ADCYAP1R1" "ENSG00000078549"
"ADD1" "ENSG00000087274"
"ADD2" "ENSG00000075340"
"ADD3" "ENSG00000148700"
"ADD3-AS1" "ENSG00000203876"
"ADDL" NA
"ADFN" NA
"ADGB" "ENSG00000118492"
"ADGRA1" "ENSG00000197177"
"ADGRA1-AS1" "ENSG00000256925"
"ADGRA2" "ENSG00000020181"
"ADGRA3" "ENSG00000152990"
"ADGRB1" "ENSG00000181790"
"ADGRB2" "ENSG00000121753"
"ADGRB3" "ENSG00000135298"
"ADGRD1" "ENSG00000111452"
"ADGRD1-AS1" "ENSG00000256151"
"ADGRD2" "ENSG00000180264"
"ADGRE1" "ENSG00000174837"
"ADGRE2" "ENSG00000127507"
"ADGRE3" "ENSG00000131355"
"ADGRE4P" "ENSG00000268758"
"ADGRE5" "ENSG00000123146"
"ADGRF1" "ENSG00000153292"
"ADGRF2" "ENSG00000164393"
"ADGRF3" "ENSG00000173567"
"ADGRF4" "ENSG00000153294"
"ADGRF5" "ENSG00000069122"
"ADGRF5-AS1" "ENSG00000225730"
"ADGRF5P1" "ENSG00000227582"
"ADGRF5P2" "ENSG00000204818"
"ADGRG1" "ENSG00000205336"
"ADGRG2" "ENSG00000173698"
"ADGRG3" "ENSG00000182885"
"ADGRG4" "ENSG00000156920"
"ADGRG5" "ENSG00000159618"
"ADGRG6" "ENSG00000112414"
"ADGRG7" "ENSG00000144820"
"ADGRL1" "ENSG00000072071"
"ADGRL2" "ENSG00000117114"
"ADGRL3" "ENSG00000150471"
"ADGRL3-AS1" "ENSG00000248692"
"ADGRL4" "ENSG00000162618"
"ADGRV1" "ENSG00000164199"
"ADH1A" "ENSG00000187758"
"ADH1B" "ENSG00000196616"
"ADH1C" "ENSG00000248144"
"ADH4" "ENSG00000198099"
"ADH5" "ENSG00000197894"
"ADH5P1" NA
"ADH5P2" "ENSG00000232676"
"ADH5P3" "ENSG00000223694"
"ADH5P4" "ENSG00000233859"
"ADH5P5" "ENSG00000234865"
"ADH6" "ENSG00000172955"
"ADH7" "ENSG00000196344"
"ADHFE1" "ENSG00000147576"
"ADI1" "ENSG00000182551"
"ADI1P1" "ENSG00000235102"
"ADI1P2" "ENSG00000250684"
"ADI1P3" "ENSG00000258369"
"ADIG" "ENSG00000182035"
"ADIPOQ" "ENSG00000181092"
"ADIPOQ-AS1" "ENSG00000226482"
"ADIPOR1" "ENSG00000159346"
"ADIPOR1P1" "ENSG00000232497"
"ADIPOR1P2" "ENSG00000258805"
"ADIPOR2" "ENSG00000006831"
"ADIR" NA
"ADIRF" "ENSG00000148671"
"ADIRF-AS1" "ENSG00000272734"
"ADK" "ENSG00000156110"
"ADL" NA
"ADM" "ENSG00000148926"
"ADM2" "ENSG00000128165"
"ADM5" "ENSG00000224420"
"ADMLX" NA
"ADMLY" NA
"ADNP" "ENSG00000101126"
"ADNP-AS1" "ENSG00000259456"
"ADNP2" "ENSG00000101544"
"ADO" "ENSG00000181915"
"ADORA1" "ENSG00000163485"
"ADORA2A" "ENSG00000128271"
"ADORA2A-AS1" "ENSG00000178803"
"ADORA2B" "ENSG00000170425"
"ADORA2BP1" "ENSG00000236136"
"ADORA2L1" NA
"ADORA2L2" NA
"ADORA3" "ENSG00000282608"
"ADPGK" "ENSG00000159322"
"ADPGK-AS1" "ENSG00000260898"
"ADPRH" "ENSG00000144843"
"ADPRHL1" "ENSG00000153531"
"ADPRHL2" "ENSG00000116863"
"ADPRM" "ENSG00000170222"
"ADRA1A" "ENSG00000120907"
"ADRA1B" "ENSG00000170214"
"ADRA1C" NA
"ADRA1D" "ENSG00000171873"
"ADRA2A" "ENSG00000150594"
"ADRA2B" "ENSG00000274286"
"ADRA2C" "ENSG00000184160"
"ADRA2L1" NA
"ADRB1" "ENSG00000043591"
"ADRB2" "ENSG00000169252"
"ADRB2RL1" NA
"ADRB3" "ENSG00000188778"
"ADRM1" "ENSG00000130706"
"ADSL" "ENSG00000239900"
"ADSS1" "ENSG00000185100"
"ADSS2" "ENSG00000035687"
"ADT" NA
"ADTAA" NA
"ADTAB" NA
"ADTB1" NA
"ADTB2" NA
"ADTG" NA
"ADTRP" "ENSG00000111863"
"AE1" NA
"AE2" NA
"AEBP1" "ENSG00000106624"
"AEBP2" "ENSG00000139154"
"AEMK" NA
"AEN" "ENSG00000181026"
"AEPLC" NA
"AEZ" NA
"AF8T" NA
"AFA" NA
"AFAP1" "ENSG00000196526"
"AFAP1-AS1" "ENSG00000272620"
"AFAP1L1" "ENSG00000157510"
"AFAP1L2" "ENSG00000169129"
"AFCP" NA
"AFD1" NA
"AFDN" "ENSG00000130396"
"AFDN-DT" "ENSG00000198221"
"AFF1" "ENSG00000172493"
"AFF1-AS1" NA
"AFF2" "ENSG00000155966"
"AFF2-IT1" "ENSG00000223516"
"AFF3" "ENSG00000144218"
"AFF4" "ENSG00000072364"
"AFG1L" "ENSG00000135537"
"AFG3" NA
"AFG3L1P" "ENSG00000223959"
"AFG3L2" "ENSG00000141385"
"AFG3L2P1" "ENSG00000253606"
"AFM" "ENSG00000079557"
"AFMID" "ENSG00000183077"
"AFP" "ENSG00000081051"
"AFTPH" "ENSG00000119844"
"AGA" "ENSG00000038002"
"AGAP1" "ENSG00000157985"
"AGAP1-IT1" "ENSG00000235529"
"AGAP2" "ENSG00000135439"
"AGAP2-AS1" "ENSG00000255737"
"AGAP3" "ENSG00000133612"
"AGAP4" "ENSG00000188234"
"AGAP5" "ENSG00000172650"
"AGAP6" "ENSG00000204149"
"AGAP7P" "ENSG00000264204"
"AGAP8" NA
"AGAP9" "ENSG00000204172"
"AGAP10" NA
"AGAP10P" "ENSG00000230869"
"AGAP11" "ENSG00000271880"
"AGAP12P" "ENSG00000265018"
"AGAP13P" "ENSG00000243289"
"AGAP14P" "ENSG00000279058"
"AGBL1" "ENSG00000273540"
"AGBL1-AS1" "ENSG00000260125"
"AGBL2" "ENSG00000165923"
"AGBL3" "ENSG00000146856"
"AGBL4" "ENSG00000186094"
"AGBL4-AS1" "ENSG00000230114"
"AGBL4-IT1" "ENSG00000225623"
"AGBL5" "ENSG00000084693"
"AGBL5-AS1" "ENSG00000231636"
"AGBL5-IT1" "ENSG00000229122"
"AGER" "ENSG00000204305"
"AGFG1" "ENSG00000173744"
"AGFG2" "ENSG00000106351"
"AGGF1" "ENSG00000164252"
"AGGF1P1" "ENSG00000214273"
"AGGF1P2" "ENSG00000233435"
"AGGF1P3" "ENSG00000241532"
"AGGF1P4" "ENSG00000261689"
"AGGF1P5" "ENSG00000260680"
"AGGF1P6" "ENSG00000259836"
"AGGF1P7" "ENSG00000260994"
"AGGF1P8" "ENSG00000261752"
"AGGF1P9" "ENSG00000260427"
"AGGF1P10" "ENSG00000282968"
"AGK" "ENSG00000006530"
"AGKP1" "ENSG00000226555"
"AGL" "ENSG00000162688"
"AGMAT" "ENSG00000116771"
"AGMO" "ENSG00000187546"
"AGMX1" NA
"AGMX2" NA
"AGO1" "ENSG00000092847"
"AGO2" "ENSG00000123908"
"AGO3" "ENSG00000126070"
"AGO4" "ENSG00000134698"
"AGPAT1" "ENSG00000204310"
"AGPAT2" "ENSG00000169692"
"AGPAT3" "ENSG00000160216"
"AGPAT4" "ENSG00000026652"
"AGPAT4-IT1" "ENSG00000279355"
"AGPAT5" "ENSG00000155189"
"AGPAT5P1" "ENSG00000234652"
"AGPS" "ENSG00000018510"
"AGR2" "ENSG00000106541"
"AGR3" "ENSG00000173467"
"AGRN" "ENSG00000188157"
"AGRP" "ENSG00000159723"
"AGS" NA
"AGS1" NA
"AGS2" NA
"AGT" "ENSG00000135744"
"AGTBP" NA
"AGTIL" NA
"AGTPBP1" "ENSG00000135049"
"AGTR1" "ENSG00000144891"
"AGTR1B" NA
"AGTR2" "ENSG00000180772"
"AGTRAP" "ENSG00000177674"
"AGTRL2" NA
"AGXT" "ENSG00000172482"
"AGXT2" "ENSG00000113492"
"AHC" NA
"AHCTF1" "ENSG00000153207"
"AHCTF1P1" NA
"AHCY" "ENSG00000101444"
"AHCYL1" "ENSG00000168710"
"AHCYL2" "ENSG00000158467"
"AHCYP1" NA
"AHCYP2" "ENSG00000238181"
"AHCYP3" "ENSG00000233955"
"AHCYP4" "ENSG00000232992"
"AHCYP5" "ENSG00000213107"
"AHCYP6" NA
"AHCYP7" "ENSG00000259465"
"AHCYP8" "ENSG00000242529"
"AHDC1" "ENSG00000126705"
"AHDS" NA
"AHI1" "ENSG00000135541"
"AHNAK" "ENSG00000124942"
"AHNAK2" "ENSG00000185567"
"AHR" "ENSG00000106546"
"AHRR" "ENSG00000063438"
"AHSA1" "ENSG00000100591"
"AHSA2P" "ENSG00000173209"
"AHSG" "ENSG00000145192"
"AHSP" "ENSG00000169877"
"AIC" NA
"AICDA" "ENSG00000111732"
"AIDA" "ENSG00000186063"
"AIED" NA
"AIF1" "ENSG00000204472"
"AIF1L" "ENSG00000126878"
"AIFM1" "ENSG00000156709"
"AIFM1P1" "ENSG00000225509"
"AIFM2" "ENSG00000042286"
"AIFM3" "ENSG00000183773"
"AIG1" "ENSG00000146416"
"AIG1P1" "ENSG00000249089"
"AIH1" NA
"AIH2" NA
"AIH3" NA
"AIM2" "ENSG00000163568"
"AIMP1" "ENSG00000164022"
"AIMP1P1" "ENSG00000234187"
"AIMP1P2" "ENSG00000227177"
"AIMP2" "ENSG00000106305"
"AIP" "ENSG00000110711"
"AIPL1" "ENSG00000129221"
"AIRE" "ENSG00000160224"
"AIRN" "ENSG00000268257"
"AIS1" NA
"AIS2" NA
"AIS3" NA
"AJAP1" "ENSG00000196581"
"AJM1" "ENSG00000232434"
"AJUBA" "ENSG00000129474"
"AK1" "ENSG00000106992"
"AK2" "ENSG00000004455"
"AK2P1" NA
"AK2P2" "ENSG00000242272"
"AK3" "ENSG00000147853"
"AK3P2" "ENSG00000250115"
"AK3P3" "ENSG00000230042"
"AK3P4" "ENSG00000248722"
"AK3P5" "ENSG00000228816"
"AK3P6" NA
"AK4" "ENSG00000162433"
"AK4P1" "ENSG00000263535"
"AK4P2" "ENSG00000249410"
"AK4P3" "ENSG00000233381"
"AK4P4" "ENSG00000223621"
"AK4P5" "ENSG00000217377"
"AK4P6" "ENSG00000235606"
"AK5" "ENSG00000154027"
"AK6" "ENSG00000085231"
"AK6" NA
